ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device
3620,churned,39,31,543,2514,69,53,3840.8,568.1,1,1,iPhone
3621,retained,36,30,61,2233,12,0,6309.7,3915.8,20,15,Android
3622,churned,149,120,152,1054,79,0,2035.7,1660.9,12,7,Android
3623,retained,6,5,59,599,86,0,1711.3,557.3,12,8,iPhone
3624,retained,109,87,399,3129,31,0,5191.2,2663.3,9,9,Android
3625,churned,57,46,82,3392,0,0,7739.2,5527.2,3,3,iPhone
3626,retained,34,27,81,1052,134,3,5227.3,1151.2,3,3,iPhone
3627,retained,60,48,87,1697,53,14,3720.7,2530.2,6,6,iPhone
3628,retained,55,45,245,2650,99,0,3000.8,1249.7,7,7,iPhone
3629,retained,258,206,333,2569,9,16,3671.1,2492.9,5,3,Android
3630,retained,119,97,201,2709,202,13,1285.9,658.3,19,11,iPhone
3631,retained,7,7,94,2500,211,7,6040.8,2835.8,28,21,Android
3632,churned,99,95,169,46,49,46,1785.5,1484.8,29,19,iPhone
3633,retained,19,16,68,1185,154,0,7919.9,4987.7,22,14,Android
3634,retained,17,15,57,1313,193,16,4313.7,1291.2,22,15,iPhone
3635,churned,81,65,136,746,20,13,3690.3,2633.0,10,5,iPhone
3636,retained,45,36,88,1242,154,136,1808.9,486.0,15,10,iPhone
3637,retained,108,87,260,2099,286,0,5410.6,2722.6,13,11,iPhone
3638,retained,184,147,335,133,69,22,3675.7,845.7,8,2,iPhone
3639,retained,132,114,238,1569,60,76,5963.0,3524.1,6,4,Android
3640,retained,79,73,248,207,0,37,1683.6,1293.7,24,21,Android
3641,churned,294,235,385,1914,185,47,2202.0,831.4,12,12,iPhone
3642,retained,2,2,122,2331,516,9,2333.0,1533.7,15,8,Android
3643,retained,10,8,135,3070,0,31,6473.5,1708.4,17,17,iPhone
3644,retained,66,53,68,2394,73,49,3765.6,2555.9,1,1,iPhone
3645,churned,245,196,496,1517,80,42,1511.6,1148.1,0,0,Android
3647,retained,122,98,214,95,0,0,1278.4,963.8,30,20,iPhone
3648,churned,54,43,54,1944,0,0,4167.9,3100.0,2,2,Android
3649,retained,167,137,171,1052,34,0,3422.6,1525.7,30,22,Android
3650,retained,148,122,248,183,0,0,7336.4,4476.5,15,12,Android
3651,churned,50,40,64,617,140,65,525.2,262.9,12,9,iPhone
3652,retained,61,49,72,414,0,0,1577.0,763.2,14,7,iPhone
3653,retained,118,103,256,284,5,36,3821.3,1649.2,26,19,iPhone
3654,retained,87,70,114,1406,0,86,4965.3,3706.0,27,18,Android
3655,retained,163,132,166,284,152,0,2485.7,449.7,8,4,Android
3656,retained,33,27,35,465,136,0,5922.0,3224.5,30,21,iPhone
3657,retained,100,80,325,1385,385,0,3543.0,1385.1,21,20,Android
3658,retained,66,53,215,493,144,0,2188.7,569.9,24,20,iPhone
3659,retained,122,110,314,1505,38,15,1714.7,735.7,30,23,iPhone
3660,retained,120,120,168,2094,69,105,1940.2,549.4,17,13,iPhone
3662,retained,115,92,187,320,196,0,546.9,171.9,22,13,Android
3663,retained,164,140,444,2212,187,0,961.9,290.6,29,26,iPhone
3665,retained,37,35,125,1665,0,25,4759.8,354.0,6,2,Android
3666,retained,48,39,117,697,190,0,3118.4,1557.8,11,4,iPhone
3667,retained,224,179,295,1888,262,81,2197.4,1801.1,25,18,Android
3668,retained,6,6,31,184,70,11,10974.7,6227.6,17,17,iPhone
3669,retained,221,177,828,3159,63,0,4262.1,1200.7,27,22,iPhone
3670,churned,130,108,141,1520,196,19,4316.7,1929.7,7,7,iPhone
3671,churned,15,15,26,206,13,13,1120.0,822.2,0,0,iPhone
3672,retained,86,71,467,1376,58,0,1701.2,277.9,7,3,iPhone
3673,retained,13,10,138,1836,237,41,2014.8,1291.0,7,5,Android
3675,retained,150,120,206,3032,0,45,7689.5,5809.4,21,21,iPhone
3676,retained,21,17,162,1290,280,14,6183.3,4400.1,25,17,Android
3677,retained,113,91,285,2342,24,120,5520.8,4248.0,15,12,iPhone
3678,retained,1,1,143,1634,26,261,405.2,46.4,4,0,iPhone
3679,churned,4,4,186,1053,199,117,2417.3,2000.1,16,12,iPhone
3680,retained,40,36,129,2635,329,22,3405.3,2442.4,30,26,iPhone
3681,retained,23,19,316,3179,81,0,1488.2,600.2,10,10,Android
3682,retained,289,231,604,2571,0,0,2421.8,711.4,23,23,iPhone
3683,churned,4,4,30,1037,104,302,6704.8,1240.8,24,20,Android
3684,retained,16,14,63,288,117,0,2970.0,1846.7,30,28,Android
3685,churned,298,239,386,3496,279,39,5610.7,4431.2,2,2,Android
3686,retained,3,3,14,49,109,0,6451.5,307.8,1,0,Android
3687,retained,8,8,70,1548,0,0,1363.6,1128.9,19,13,Android
3688,retained,44,36,186,2671,64,81,4946.0,803.2,4,1,iPhone
3689,churned,19,19,80,2557,59,55,3986.2,2994.0,17,14,iPhone
3690,retained,23,22,41,1004,0,9,6725.9,2411.9,7,7,Android
3691,retained,33,33,90,2729,38,25,6451.9,510.6,31,30,Android
3692,churned,87,71,230,255,0,77,2468.5,611.3,0,0,Android
3693,retained,53,45,188,3297,593,152,7386.3,4198.9,29,27,Android
3694,retained,24,19,57,862,374,139,1559.6,730.1,15,15,iPhone
3695,retained,115,92,165,67,14,0,1442.3,181.0,13,13,iPhone
3696,churned,26,21,28,1336,0,0,3630.2,2047.5,5,2,Android
3697,retained,297,250,566,957,255,0,1254.1,992.3,15,12,iPhone
3698,retained,448,360,551,3132,109,14,1134.6,408.4,29,20,Android
3699,retained,16,14,175,719,26,0,1175.3,445.6,22,16,iPhone
3701,retained,1,1,120,2326,44,0,2568.9,1583.9,7,7,iPhone
3702,retained,323,259,422,1505,33,69,1866.2,615.0,17,13,Android
3703,retained,42,33,203,2811,95,47,5380.5,610.8,17,17,iPhone
3704,churned,76,61,97,334,114,10,3856.8,2206.4,2,0,iPhone
3705,retained,79,63,219,1957,154,0,3785.1,1359.5,29,25,iPhone
3706,retained,229,183,276,2500,37,0,4541.4,440.3,27,19,Android
3707,retained,400,320,527,3369,3,25,1349.6,794.1,13,13,iPhone
3708,retained,11,11,52,2359,0,14,4862.6,2232.9,16,10,Android
3709,retained,188,150,518,290,292,0,8552.5,456.3,12,6,iPhone
3711,retained,51,42,250,2875,0,0,1905.8,1317.2,7,7,iPhone
3712,retained,11,10,93,369,38,0,1836.7,726.5,25,18,iPhone
3713,retained,19,16,34,949,70,21,3818.1,2589.7,11,11,Android
3714,churned,0,0,155,249,76,176,3582.4,1206.5,2,2,Android
3715,churned,1,1,80,1283,0,25,6813.9,2881.1,8,2,iPhone
3716,retained,15,13,129,330,288,0,2309.2,1372.2,16,16,Android
3717,retained,159,137,210,2494,437,12,8026.7,4627.5,26,23,Android
3718,retained,57,47,88,1137,195,0,3440.4,538.9,17,9,Android
3719,retained,110,109,192,693,0,15,2853.3,1106.3,5,2,iPhone
3720,retained,73,59,117,1316,93,0,1224.8,226.6,27,26,Android
3721,retained,80,64,146,1929,227,0,1528.9,138.6,7,2,iPhone
3722,retained,7,7,118,2340,218,54,2203.4,673.3,30,28,Android
3723,retained,33,33,33,3495,0,0,585.2,409.3,11,9,Android
3724,retained,193,156,216,2771,0,0,3507.5,2621.5,23,20,Android
3725,churned,43,43,166,1227,104,0,4130.1,3349.7,4,1,Android
3726,retained,405,324,448,2469,0,37,6804.0,4894.4,12,10,iPhone
3727,retained,130,105,154,1505,63,0,6871.0,4184.2,23,18,iPhone
3728,retained,281,225,296,99,46,0,2937.8,261.2,20,18,iPhone
3729,churned,157,131,799,2767,0,44,3466.6,2855.7,11,10,iPhone
3730,retained,22,20,251,1873,378,0,4615.8,3414.9,31,29,Android
3731,retained,264,215,284,1155,25,14,5408.7,2143.4,24,21,iPhone
3732,churned,142,120,215,1670,211,18,2778.7,1399.6,4,0,iPhone
3733,retained,17,14,53,753,7,20,1628.7,371.0,18,17,iPhone
3734,retained,155,136,268,2659,121,99,3080.0,1654.7,11,6,Android
3735,churned,24,20,66,3049,0,0,3304.5,1546.7,1,0,iPhone
3736,retained,51,45,115,369,125,0,2733.5,1431.1,28,22,iPhone
3737,retained,217,174,272,2428,49,56,2692.3,1513.9,28,24,iPhone
3738,retained,201,161,304,3138,0,19,9589.8,5826.8,30,21,iPhone
3739,retained,22,22,140,3293,7,29,2604.7,1832.2,22,20,iPhone
3740,churned,70,57,203,767,113,50,5147.7,2567.9,7,7,iPhone
3741,retained,33,26,97,2119,110,53,1913.0,1166.9,28,27,Android
3742,retained,31,26,75,399,213,0,3654.7,2791.6,7,3,Android
3743,retained,83,66,229,2861,140,86,2217.3,865.5,30,21,Android
3744,retained,44,38,131,2058,311,7,5806.0,826.4,14,14,iPhone
3745,retained,15,15,202,142,209,31,12288.1,1390.7,23,20,iPhone
3746,retained,23,19,102,3197,6,3,2239.9,1424.0,25,21,iPhone
3747,retained,2,2,182,2976,70,11,2447.2,1001.7,28,27,iPhone
3748,retained,238,191,263,1097,516,0,5325.9,1413.7,24,24,iPhone
3749,retained,36,31,232,3087,88,0,5061.1,1137.0,13,8,Android
3750,retained,241,194,377,799,77,50,3519.9,2783.4,3,2,Android
3751,churned,198,161,450,438,48,14,3295.3,687.8,5,2,Android
3752,retained,3,3,14,1912,0,11,1883.9,154.9,1,1,iPhone
3753,retained,27,22,399,2158,0,0,2583.9,843.9,15,15,iPhone
3754,retained,6,5,209,2585,425,9,5687.4,4669.7,30,29,iPhone
3755,retained,153,126,161,1925,11,0,2035.0,1090.1,22,19,iPhone
3757,retained,44,37,56,1375,27,0,997.3,822.8,15,14,Android
3758,retained,8,8,279,2576,387,12,752.0,437.1,28,25,iPhone
3759,retained,9,7,218,3468,59,0,1732.2,995.0,12,10,iPhone
3760,retained,18,18,47,3079,207,54,1376.4,736.3,13,13,iPhone
3761,retained,146,117,347,1233,385,9,4462.1,754.9,28,23,iPhone
3762,retained,104,83,108,1916,13,33,5432.5,1544.6,13,12,iPhone
3763,retained,23,21,41,780,182,3,829.8,260.0,9,7,iPhone
3764,retained,133,107,363,3035,75,22,2778.2,499.8,15,12,iPhone
3765,retained,20,16,107,3442,0,44,2196.3,706.7,15,15,Android
3766,retained,93,74,110,3073,118,5,5444.4,3246.1,10,5,iPhone
3767,retained,56,47,69,2462,439,20,9141.1,2454.6,16,9,iPhone
3768,retained,16,16,83,2595,37,30,586.9,186.3,23,21,iPhone
3769,retained,20,19,146,22,0,0,4459.3,3577.9,22,13,iPhone
3770,churned,35,29,108,1638,0,92,2957.5,1638.8,5,0,Android
3771,retained,46,38,68,1474,0,6,2679.0,1793.5,23,21,iPhone
3772,churned,4,4,28,3123,102,0,3574.3,1736.8,3,0,iPhone
3773,retained,28,25,212,458,31,0,847.9,451.6,3,0,iPhone
3774,retained,254,203,275,2928,249,47,3678.9,1068.3,12,8,iPhone
3775,retained,64,52,70,1907,185,0,1821.3,1117.3,3,1,iPhone
3776,retained,75,62,217,1919,109,23,4867.5,2350.9,8,7,Android
3778,retained,117,97,206,968,0,0,2542.7,1713.9,7,6,iPhone
3779,retained,137,110,397,3221,81,0,7308.3,2482.0,25,15,Android
3780,churned,50,50,305,778,8,0,2010.5,1543.9,6,0,iPhone
3781,retained,69,57,332,3437,0,0,1545.6,1053.6,17,14,iPhone
3782,retained,33,28,297,1871,152,19,3770.1,716.9,27,17,iPhone
3783,retained,49,40,348,481,38,0,2222.7,1088.0,10,10,Android
3784,retained,12,12,323,1053,120,30,6811.9,3712.4,18,12,Android
3785,churned,29,24,639,820,184,0,2146.0,366.6,1,1,iPhone
3786,churned,48,39,133,2999,37,18,9698.8,3516.3,8,4,iPhone
3787,retained,31,31,219,147,21,50,10304.4,3801.3,24,20,iPhone
3788,retained,52,50,114,1705,73,0,6679.2,2788.5,19,11,iPhone
3789,retained,47,38,50,3035,259,0,3072.0,734.6,13,12,Android
3790,retained,36,29,108,895,21,7,1302.5,484.6,19,19,iPhone
3791,retained,9,9,18,864,68,79,8952.1,5023.7,9,9,iPhone
3792,retained,82,66,138,3125,276,21,1160.4,493.2,24,24,iPhone
3793,retained,132,109,133,2479,0,0,3700.4,765.1,14,10,iPhone
3794,retained,10,10,211,2217,28,0,1120.0,813.9,30,20,iPhone
3795,retained,126,102,161,1731,84,0,2400.2,973.1,10,10,iPhone
3796,retained,125,102,718,2601,200,25,3119.4,681.0,20,18,iPhone
3797,retained,265,219,285,3425,93,40,954.9,539.4,23,20,iPhone
3798,retained,24,20,132,1727,0,43,4963.8,2827.5,24,19,iPhone
3799,retained,150,120,198,2019,59,33,2216.4,1394.7,2,2,Android
3800,retained,31,27,47,2856,111,51,2501.6,543.8,17,17,Android
3801,retained,0,0,81,1244,149,20,4462.7,1728.3,21,13,Android
3802,churned,28,23,119,1970,77,4,2239.8,1200.5,3,0,iPhone
3803,churned,45,37,116,3309,11,0,1201.5,624.9,5,4,Android
3804,retained,1,1,1,2192,493,15,2748.9,1731.0,27,20,iPhone
3805,retained,63,56,101,438,0,0,2177.9,1633.0,25,18,Android
3806,churned,67,54,69,626,651,0,2589.0,1172.1,24,19,iPhone
3807,churned,138,112,144,1621,418,0,8063.5,3176.7,7,7,iPhone
3808,retained,109,89,112,655,164,0,5612.1,2435.5,8,7,Android
3809,retained,6,6,373,441,0,0,1869.3,236.2,25,19,iPhone
3810,retained,78,62,78,865,285,0,12024.9,9797.2,18,10,iPhone
3811,retained,0,0,99,392,47,0,1815.4,719.1,21,17,iPhone
3812,retained,26,26,144,1894,21,4,7209.7,950.5,29,19,iPhone
3813,retained,57,46,69,681,193,0,3279.9,2577.3,31,24,iPhone
3814,retained,77,71,90,1437,101,0,3487.8,1891.3,24,16,iPhone
3815,retained,65,53,191,2843,86,21,1365.0,760.5,17,15,iPhone
3816,retained,474,379,716,2833,22,0,3109.0,704.1,4,4,iPhone
3817,retained,373,299,382,1902,30,0,2556.7,352.8,12,12,iPhone
3818,churned,55,49,289,1243,0,58,2190.0,1812.4,15,15,iPhone
3819,retained,4,4,62,2385,256,0,4877.8,932.5,11,6,iPhone
3820,retained,37,30,58,749,2,68,3375.0,1252.9,16,8,iPhone
3821,retained,256,206,285,1066,254,85,2854.9,1486.6,8,3,iPhone
3822,retained,52,42,64,468,0,0,2683.7,1650.5,2,2,iPhone
3823,retained,60,48,235,2775,305,0,4761.4,2412.9,11,5,iPhone
3824,retained,43,35,118,1203,244,0,1781.0,458.4,10,10,iPhone
3825,retained,33,33,38,3171,145,0,7114.2,4436.2,11,11,iPhone
3826,retained,63,52,74,1743,0,0,2328.6,1457.3,28,27,iPhone
3827,retained,275,239,557,2632,5,109,273.5,128.1,10,3,iPhone
3828,churned,311,251,526,1467,30,92,5308.0,125.7,9,6,iPhone
3830,retained,112,93,273,2801,45,127,7876.7,4966.5,26,19,iPhone
3831,retained,32,29,68,847,114,0,5190.2,1389.0,8,4,Android
3832,retained,107,86,207,185,51,31,2824.4,2144.4,22,22,iPhone
3833,retained,176,142,233,3337,258,0,2145.6,1208.0,0,0,iPhone
3834,retained,61,55,97,439,0,65,1327.8,752.5,12,12,Android
3835,retained,165,158,314,220,98,45,2790.7,2108.4,26,25,iPhone
3836,retained,156,125,174,2479,9,0,5649.1,3227.4,10,4,iPhone
3837,retained,36,29,37,2774,178,5,5788.7,2225.7,22,15,Android
3838,retained,88,79,209,2791,142,0,6785.7,4135.4,15,13,Android
3839,retained,125,100,216,3214,145,0,1955.6,1288.5,28,20,iPhone
3840,retained,5,5,261,2761,6,0,2464.1,665.9,14,11,Android
3841,churned,22,19,259,1149,44,0,4231.6,3011.6,7,6,Android
3842,retained,5,5,404,35,207,13,2927.6,2325.1,25,16,Android
3843,retained,26,26,339,1292,23,37,4728.7,1593.5,17,17,Android
3844,retained,17,17,370,3201,215,8,1545.4,813.4,13,12,Android
3845,retained,94,94,114,2260,86,0,6243.7,4401.9,14,14,Android
3846,retained,290,233,356,460,153,12,3411.8,808.6,10,10,Android
3847,churned,126,101,185,2554,304,71,2519.2,1736.7,21,16,iPhone
3848,retained,9,8,24,1458,115,24,3759.8,2782.9,20,19,iPhone
3849,churned,52,42,85,2483,417,0,3192.7,1089.2,1,0,iPhone
3851,retained,109,88,214,1660,117,0,3465.1,1691.0,28,22,iPhone
3852,retained,169,135,294,477,104,0,1345.2,698.1,15,14,Android
3853,churned,152,123,194,1287,48,36,4366.1,2277.1,11,4,iPhone
3854,retained,100,83,439,2932,0,0,4629.9,134.2,19,19,Android
3855,retained,92,74,118,3153,141,0,5394.5,766.8,11,7,iPhone
3856,retained,44,37,44,1406,75,10,5538.5,4073.2,24,16,iPhone
3857,retained,1,1,6,410,216,100,3340.8,1187.4,25,19,iPhone
3858,retained,111,94,170,2346,17,0,4151.0,821.6,15,12,iPhone
3859,retained,101,85,106,2585,228,54,2584.6,182.3,4,2,iPhone
3860,retained,94,79,134,3022,101,0,2370.6,1686.6,19,14,iPhone
3861,retained,67,57,125,3009,151,0,1656.9,1154.1,18,18,iPhone
3862,retained,10,9,86,2508,233,46,1278.8,1049.5,26,20,iPhone
3863,retained,44,43,67,1152,9,13,1848.4,606.9,23,17,iPhone
3864,retained,15,15,104,3238,17,14,4429.4,3164.7,26,17,iPhone
3865,churned,511,418,531,3064,99,0,3799.0,1077.0,16,14,iPhone
3866,retained,13,11,100,1333,317,24,1518.4,896.8,13,8,iPhone
3867,retained,171,138,365,2337,2,0,4885.6,2335.5,29,24,iPhone
3868,retained,65,52,67,329,144,89,3096.2,903.5,25,17,Android
3869,retained,49,41,168,3401,3,0,5061.8,2742.1,20,20,iPhone
3870,retained,37,30,233,2728,82,175,3819.1,665.1,5,1,iPhone
3871,retained,12,10,200,3495,153,0,10277.8,7007.2,26,23,iPhone
3872,retained,18,16,183,466,0,0,1373.2,187.3,6,6,Android
3873,retained,32,26,123,3211,50,0,1978.8,1057.0,16,14,iPhone
3874,retained,6,5,236,1689,0,0,2910.6,2006.5,22,21,iPhone
3875,retained,8,8,198,1170,0,31,3068.5,1429.0,14,13,iPhone
3876,churned,15,14,122,1648,65,15,3645.4,2246.5,6,6,Android
3877,retained,161,154,288,2204,0,39,869.3,624.9,31,24,iPhone
3878,retained,32,26,56,22,32,11,3461.5,1418.3,22,14,iPhone
3879,retained,266,243,398,356,205,0,5565.9,4563.7,31,24,iPhone
3881,retained,32,26,115,2844,19,26,11316.3,1372.3,15,14,iPhone
3882,retained,57,46,396,2345,79,42,13873.3,1792.1,2,2,iPhone
3883,retained,150,120,255,1058,198,0,2128.1,1504.9,25,17,iPhone
3884,retained,19,17,27,1777,11,8,5869.6,3204.9,20,12,Android
3886,retained,28,23,114,1762,75,12,6333.6,2849.0,2,0,Android
3887,retained,35,30,59,177,51,52,8818.4,2101.8,23,19,iPhone
3888,retained,19,15,489,91,0,87,3668.8,810.1,30,28,iPhone
3889,retained,21,19,175,1428,107,123,2265.8,683.2,23,15,iPhone
3891,retained,89,89,218,1492,16,117,3921.4,726.5,11,10,iPhone
3892,retained,18,15,125,534,229,108,1813.5,659.9,27,23,Android
3893,retained,87,70,113,180,104,28,1858.5,316.7,24,18,Android
3894,retained,115,93,611,831,0,164,519.1,285.9,14,13,iPhone
3895,retained,255,204,402,3063,312,100,1420.4,1147.3,3,3,iPhone
3896,retained,13,11,94,2789,87,0,3001.8,1351.8,22,21,iPhone
3897,retained,26,21,138,2445,0,116,6860.4,2930.2,28,17,iPhone
3898,retained,9,9,234,2871,0,0,4347.1,1653.2,4,3,iPhone
3900,retained,47,38,124,3314,40,143,7927.9,3743.7,11,10,iPhone
3901,retained,31,25,208,3443,42,62,5096.0,1775.4,27,24,iPhone
3902,retained,2,2,150,388,137,22,4194.0,2192.0,3,0,Android
3903,retained,101,81,206,1109,117,37,1588.8,653.7,6,6,iPhone
3904,retained,33,28,137,2424,22,0,1325.8,830.5,11,11,iPhone
3905,retained,57,46,58,1928,0,0,2720.5,2166.4,14,13,iPhone
3906,retained,66,53,89,1690,161,16,4432.8,1432.1,26,22,Android
3907,retained,89,72,150,145,0,28,1075.7,793.8,19,17,iPhone
3908,retained,157,126,348,3159,0,11,2740.9,1001.9,2,2,iPhone
3909,retained,28,23,69,3090,268,0,5569.1,567.2,15,13,iPhone
3910,retained,142,115,186,2550,0,20,4099.4,1769.5,18,18,Android
3911,churned,60,48,287,1473,101,96,2279.5,629.6,27,25,iPhone
3912,retained,106,86,190,132,0,259,1786.1,371.2,0,0,iPhone
3914,retained,34,27,447,2245,328,0,13192.2,3127.6,10,6,iPhone
3915,retained,8,7,197,2496,60,0,879.3,384.2,25,22,iPhone
3916,retained,308,293,323,1366,0,3,8375.3,34.3,3,3,iPhone
3917,churned,97,78,240,1208,43,2,2822.0,943.9,21,21,iPhone
3918,churned,220,176,293,2842,0,18,4767.5,1089.9,4,0,Android
3919,churned,270,216,343,3391,216,0,4251.9,3011.0,7,2,Android
3920,retained,26,21,182,1628,112,7,11061.5,8811.6,6,6,iPhone
3921,retained,48,39,170,878,50,0,968.2,510.9,25,21,iPhone
3922,retained,103,83,292,1817,172,94,2076.8,1506.8,1,0,Android
3923,churned,147,120,647,2011,225,1,2885.9,1083.2,11,11,Android
3924,retained,43,36,74,886,0,0,9464.8,3283.7,2,2,Android
3925,retained,63,51,358,1109,0,86,5641.1,2588.3,17,13,iPhone
3926,retained,134,108,137,548,268,0,1932.9,1024.6,30,22,iPhone
3927,retained,60,50,76,1428,98,16,4168.0,2538.4,23,16,Android
3928,churned,149,132,499,587,157,17,6262.3,3261.2,23,21,Android
3929,retained,45,37,97,2457,21,15,3249.1,1553.3,24,23,iPhone
3930,churned,101,81,235,3002,157,22,2763.4,710.2,0,0,Android
3931,retained,20,16,97,1682,10,43,2051.6,759.3,19,19,Android
3932,retained,107,86,126,53,33,0,6627.5,4449.7,21,21,iPhone
3933,retained,21,21,22,756,169,42,3595.9,1232.8,22,16,iPhone
3934,retained,18,18,165,1040,0,60,8917.6,6894.4,26,24,iPhone
3935,churned,6,6,134,760,35,13,4408.0,3065.0,10,4,Android
3936,retained,53,45,90,148,125,0,4662.4,3648.2,12,10,iPhone
3937,retained,66,53,121,2620,0,103,2854.1,777.0,11,9,Android
3938,retained,41,34,237,1269,26,19,1516.2,182.0,27,21,iPhone
3939,retained,16,16,187,369,0,3,3914.9,2991.9,30,28,iPhone
3940,retained,6,6,64,1397,19,0,2829.8,1054.0,28,27,Android
3942,retained,229,184,289,3130,169,0,6383.0,2858.1,25,23,Android
3943,retained,6,6,91,3482,0,0,3121.7,1389.5,2,2,iPhone
3944,retained,227,182,236,2318,125,11,12495.1,1111.2,20,14,Android
3945,retained,29,23,63,588,105,6,4231.7,2312.1,20,12,iPhone
3947,retained,27,21,36,1774,613,52,7137.3,1555.9,31,27,Android
3948,retained,24,21,39,3033,52,9,8923.4,1341.5,6,6,Android
3949,retained,36,29,76,2348,0,59,4506.1,3298.4,30,27,Android
3950,retained,10,8,418,226,156,58,861.5,699.3,19,11,Android
3951,retained,20,20,216,2590,30,0,3070.8,254.4,29,22,iPhone
3952,retained,74,59,92,3410,0,0,2244.4,882.1,29,24,Android
3953,retained,132,132,137,1867,121,0,3568.0,828.6,13,13,iPhone
3954,retained,154,124,469,2358,0,84,7972.2,5257.0,20,14,iPhone
3955,retained,199,160,768,288,83,15,7448.4,1999.0,18,13,iPhone
3956,retained,11,11,228,1857,66,28,5316.8,3552.6,17,10,iPhone
3957,retained,368,297,403,512,0,11,4771.3,1216.1,1,0,Android
3958,retained,95,76,173,2295,0,96,5985.9,2646.1,6,6,Android
3959,retained,17,17,50,2666,46,52,2494.5,950.1,21,14,iPhone
3960,churned,61,54,98,1890,0,37,6240.1,1213.0,5,5,Android
3961,retained,29,29,333,3427,152,28,3517.5,2623.5,14,13,Android
3962,churned,68,55,206,727,94,0,1494.0,768.5,9,6,iPhone
3963,churned,15,13,27,806,1,27,574.1,450.5,17,17,iPhone
3964,retained,87,73,196,3121,164,24,3766.1,722.5,17,9,iPhone
3965,retained,68,68,96,474,86,87,3154.2,1515.6,15,8,iPhone
3966,churned,334,270,339,699,552,14,3311.0,1433.4,18,13,iPhone
3967,retained,142,117,541,1875,0,136,924.6,697.5,20,20,iPhone
3968,retained,69,60,174,772,92,3,7391.0,5504.2,16,10,Android
3969,retained,230,184,555,42,40,79,5627.2,2724.0,13,12,Android
3971,retained,131,105,164,34,119,0,4639.4,1597.4,16,16,Android
3972,churned,88,71,165,488,0,81,7741.0,5414.3,19,10,iPhone
3973,retained,35,28,245,498,65,109,2396.2,1896.4,31,22,Android
3974,retained,191,154,237,2354,0,8,1652.1,1097.9,15,8,Android
3975,retained,6,5,34,1463,848,30,1251.3,755.3,28,26,Android
3976,retained,209,169,327,966,0,0,1561.5,1230.9,17,9,iPhone
3977,retained,6,6,23,2356,9,86,5679.8,2213.3,30,19,iPhone
3979,churned,80,65,287,3253,205,39,5905.6,3800.9,8,8,Android
3980,retained,207,166,458,3291,379,87,6466.8,1387.3,0,0,iPhone
3981,retained,9,7,77,2201,110,0,3403.4,2822.2,4,3,Android
3982,retained,229,185,485,2064,0,30,3357.8,1827.8,16,13,iPhone
3983,retained,15,13,79,545,0,4,406.9,196.4,29,19,Android
3984,churned,307,246,759,496,580,86,4257.3,2603.1,8,8,iPhone
3985,retained,55,45,77,250,0,30,3190.0,366.8,26,20,Android
3986,retained,77,62,208,2582,0,27,5795.2,1094.8,2,0,Android
3987,retained,9,7,110,3001,321,24,5330.4,336.9,15,11,Android
3988,retained,31,31,72,2419,407,8,1739.3,748.0,22,19,iPhone
3989,churned,27,22,219,536,170,131,6079.3,4623.5,0,0,Android
3990,retained,75,61,103,3007,368,34,3078.1,589.2,20,11,Android
3991,churned,52,51,56,208,155,0,2630.7,1190.8,2,0,iPhone
3992,retained,51,46,277,1625,138,32,4833.2,2287.3,27,25,Android
3993,retained,51,50,172,2035,161,34,3424.1,2518.5,28,23,iPhone
3994,retained,20,16,96,1033,0,9,1960.6,1014.9,17,9,iPhone
3995,churned,108,86,118,1249,9,0,2987.9,884.4,2,2,iPhone
3996,retained,155,128,301,1760,77,0,4632.0,1681.3,9,9,iPhone
3997,retained,140,112,162,1248,103,0,3229.9,1869.4,5,3,Android
3998,retained,130,117,252,3072,233,0,894.4,705.8,25,24,Android
3999,churned,59,48,90,83,314,12,3398.0,1429.0,18,18,Android
4000,retained,0,0,23,3241,50,42,8588.4,6418.4,8,3,Android
4001,churned,14,12,159,782,0,20,1134.2,810.8,4,4,iPhone
4002,retained,18,18,38,1785,151,17,7239.3,4835.4,15,13,Android
4003,retained,266,213,295,68,30,0,2767.0,1474.5,15,13,iPhone
4005,retained,39,32,71,3416,124,20,5286.4,1966.5,23,22,iPhone
4006,retained,83,67,268,2856,91,88,2216.3,1790.4,19,16,iPhone
4007,churned,374,299,425,1234,129,0,1699.3,781.1,6,6,Android
4008,retained,89,84,249,2994,0,65,2241.3,838.8,8,2,Android
4009,retained,123,99,206,1463,137,51,2755.2,441.4,21,12,iPhone
4010,churned,343,296,432,1659,78,0,1387.1,1055.8,7,3,iPhone
4011,retained,3,3,4,378,29,52,3454.6,2399.4,10,3,iPhone
4012,retained,68,68,95,2107,20,0,1685.7,587.6,21,20,Android
4013,churned,53,46,245,1378,224,0,3221.8,1726.2,30,20,Android
4014,retained,31,28,99,3431,0,93,3750.9,2336.8,28,22,Android
4015,retained,34,28,47,581,149,27,3350.3,2287.7,10,10,iPhone
4016,retained,0,0,1,3136,0,0,2476.3,1481.8,21,14,Android
4017,retained,5,5,51,2039,172,1,2068.8,132.3,12,10,iPhone
4018,retained,139,112,250,2276,222,97,10864.5,2223.3,6,6,iPhone
4019,retained,32,32,105,1191,262,40,4364.9,2211.0,10,10,iPhone
